Content,Status,Profile
"Hi,everyone
I have been working on software development for 9 years, as a Blockchain engineer for 5 
years and React developer for 6 years.
I have a creative mind and am always up for new challenges.
I possess excellent communication and interpersonal skills. I can work very well under 
pressure.
I am always focusing on development, maintenance, supporting best solutions and team work 
collaborations.
My special services are:
- Blockchain development in Ethereum and all EVM networks: Smart contract / Dapp for 
DeFi, Dex, NFT marketplace, NFT launchPad etc.
- Full stack web development in Front-end / Back-end / Web3 / API integration",no,no
"I am seeking a highly skilled and creative Graphic Designer to join our team. The successful candidate will be responsible for creating visually stunning and effective designs that communicate our message and capture our brand's essence.

Responsibilities:

- Design high-quality visual materials for various mediums, including:
    - Logos, icons, and brand identities
    - Brochures, flyers, posters, and other print materials
    - Digital graphics, infographics, and social media assets
    - Websites, landing pages, and email templates
- Collaborate with the marketing team to understand design requirements and preferences
- Develop and maintain our brand's visual identity and style guide
- Stay up-to-date with design trends and industry developments
- Meet deadlines and deliver high-quality work under pressure",yes,"Graphic Desginer,UI UX Designer"
"Hi everybody,
I am a senior chrome extension developer.
whatever you offer requriements, I can meet for them
pls feel free to DM me.
Warm regards,",no,no
"Anyone interested in a part time job, if interested kindly direct me a message to know what and when to get started…",no,spam
"**We are seeking a highly skilled and knowledgeable consultant with expertise spanning various critical domains. The ideal candidate may excel in one or more of the following areas:**

- Influence & Manipulation: Proven ability to masterfully navigate the complexities of influence, persuasion, and psychological impact to achieve strategic objectives.

-** War & History:** Deep understanding of historical events, particularly in the context of war, conflict resolution, and their influence on modern geopolitics and strategy.

-** Business & Financial Acumen:** Strong foundation in business management, financial analysis, and strategic planning, with a track record of driving growth and efficiency.

- **Politics & Intelligence:** Insightful knowledge of political dynamics and intelligence operations, with an ability to analyze and respond to global and local political trends.

- **Communication Mastery**: Exceptional skills in communication, including effective intonation, harmonious dialogue, and the ability to convey complex ideas clearly and persuasively.

- **Peace & Conflict Resolution:** Expertise in fostering peace, managing conflicts, and developing strategies for sustainable resolution in high-stakes environments.

*Qualifications:

Extensive reading and knowledge across a wide range of subjects, particularly those listed above.
Demonstrated success in applying influence, manipulation, and psychological principles in various contexts.
Strong analytical abilities with a focus on historical and political analysis, as well as business and financial strategies.
Superior communication skills, ensuring clarity and impact in all interactions.
**||Compensation: $1 - $15 per hour, depending on experience and expertise.||**",yes,Consultant
"@everyone Hi!

My team can make you a discord server / discord bot. We got a big team with 5 years of expirience. We can work with your budget! dm me",no,no
"💯 I AM PROVIDING SOFTWARE DEVELOPMENT SERVICE. IF YOU ARE LOOKING FOR SOME DEVELOPER RESOURCE OR SOFTWARE ENGINEER, YOU ARE IN RIGHT PLACE WITH ME💯 

We are fully focusing on Blockchain/Forex Trading platform(including all servers like mainTrade server, history server, access server, backup server and all terminals for desktop terminal and managerTerminal, adminTerminal, web terminal and mobile terminal too.)

➡️ Android https://play.google.com/store/apps/details?id=nextgen.trader 
➡️ Ios https://apps.apple.com/ae/app/nextgentrader/id6469449804 
➡️ Desktop https://nextgenfintechusa.com/downloads/nextgen/NextgenClientTerminalSetup.exe   

I am very familiar with python, tensorflow, pytorch, node.js and express and mongodb and django and web app. 
https://github.com/solutionprovider9174
I am development engineer from UAE nextgenfintech usa development department.
I have also worked for asp.net and laravel and codeigniter, c# automation, c++ trading server.

🚨crypto trading bot and exchange(pentaplant.com)
🚨Forex trading platform :  http://169.50.175.11:6660 
🚨stock trading platform :  https://charttt.themains.io/charts/BTCUSDT/realtime https://charttt.themains.io/charts/AAPUSDT/realtime 
🚨t.me/ibocrypto

💻 More past Work proven history

⚒️ Full defi system including faucet, explorer, launchpad, smart contract verifier, liquidity locker, dex of testnet and mainnet based on ""MUSA"" network⚒️ 
Polygon node installation
node installation to hetzner server for test net. 
node installation to aws server for main net.
faucet.musa.com and then etc but all are expired for now because this system client is not achieving success.
But all source code i have for fully done.


⚒️ Incubator DAPP with voting scenario on community based on terra network⚒️ 
terra network with terra station and cosmwasm smart contract.
Lottery, staking, farm, and anchor protocol
all are expired for now because this system client is not achieving success.
But all source code i have for fully done.",no,no
<@1270825244327936061> has leveled up! **(0 ➜ 1)**,no,no
"Hello Looking for a Part Time assistant, Your Job is Posting My Rental Properties On social Media Platforms(Facebook marketplace) and you get paid $600 weekly! Text me if interested",no,no
<@1139515468424683650> I am interested in it. dm me.,no,no
"Hi, I am looking for a Indian or Pakistan web3 developer. This is a long-term project. Please contact me.",yes,"Web Developer, Web3 Developer"
"Hi everyone, 
I am looking for a job as a fullstack developer. If there is anyone who wanna work with me, feel free to ping me. My DM is open for only real clients.
it's not acceptable if you are a developer or someone who has enough time to spend talking with unnecessary things
https://benjamin-lin.netlify.app/

Best Regards,",no,no
"Hi everyone,

I am a seasoned Full-stack developer specializing in Front-end development based on React, Nextjs and Back-end based on Laravel, Express and Python.

I am also proficient in developing Smart Contract with Solidity and integrating into Front-end.

Treasuring the family-like team work, I enjoy co-working with developers to achieve common success.

Especially, I would love to work for startup companies bringing new ideas into reality, but also always available for medium to large companies to make their project more sophisticated.

""Clients' success also means my success"", this is my view in business.

I am always ready to discuss the excellent projects and ideas with whoever he is a developer or a client.

If you are looking for a developer, please don't hesitate to contact with me. Feel free to DM me. I am always open.

https://benjamin-lin.netlify.app/

Best Regards,",no,no
"Hiring! Hiring!! Hiring!!!
I urgently need a Virtual Assistant
Position: Marketer and Sales Person 
Job: Listing rental properties on Your Facebook marketplace and Craigslist 
No Requirement, a remote job.
Payment:$450 weekly 
USA CANDIDATES ONLY 
Send a Dm if you’re interested
CONTACT 909-901-3264",yes,Sales 
"Hello Looking for a Part Time assistant, Your Job is Posting My Rental Properties On social Media Platforms(Facebook marketplace) and you get paid $600 weekly! Text me if you’re interested",no,spam
"Hello everyone!

🙌 🙌 First of all, thanks for reading my post.🙌 🙌

As a **software engineer**, I'm actively looking for jobs and always open to job opportunities. 🧐 🧐
Passionate about staying up-to-date with the latest trends and best practices, and continuously expanding my skills to tackle complex challenges.
Thrive in collaborative environments, effectively communicating with cross-functional teams to ensure successful project outcomes.

Expertise in popular SPA front-end frameworks and libraries such as React, Angular, Vue.js and jQuery. Especially, I love ***__REACT__*** very much.
Skilled at creating and consuming RESTful APIs and GraphQL APIs.
Familiarity with SQL & NoSQL databases. Also Proficient in Git and GitHub & GitLab.

Turns out, I'm a **dedicated full stack engineer**.
👐👐And if anyone needs a **DEVELOPER / FREELANCER **or find **EMPLOYEES **for companies, I'm always available on anytime, so ***DM*** me.👐👐

*(p.s. 🙂 I could work for free for a week, but 😠 you shouldn't cheat 😠 )*",no,no
I can help you here.,no,no
https://hansmire.vercel.app,no,no
i can make fps animations for your projects https://www.fiverr.com/wiam_9/do-an-first-person-animation,no,no
"Hiring! Hiring!! Hiring!!!
I urgently need a Virtual Assistant
Position: Marketer and Sales Person 
Job: Listing rental properties on Your Facebook marketplace and Craigslist 
No Requirement, a remote job.
Payment:$450 weekly 
USA CANDIDATES ONLY 
Send a Dm if you’re interested
CONTACT 909-901-3264",yes,Sales 
"Hi Everyone.
I am looking to purchase linkedin and github accounts created between 2015 and 2020.",no,no
"# Hiring a private team of outreachers

Are you looking for a job that you can do from the **comfort of your home**, tired of having to meet **deadlines**?

Well then this is the job for you!

I am hiring a private team of outreachers that will help me with my business, the only things that are required are for you to be able to **communicate** with other team members.

NO experience is required!

So what are you waiting for? To **Start just hmu with a DM**",no ,spam
"# Hiring software developer for an auto dm bot #

need someone who is ambitious and FOCUSED.

It will be making a dm bot + data scraping

If this is you let me know, dm me here on discord",yes,Discord Developer
"# Hiring a private team of outreachers

Are you looking for a job that you can do from the **comfort of your home**, tired of having to meet **deadlines**?

Well then this is the job for you!

I am hiring a private team of outreachers that will help me with my business, the only things that are required are for you to be able to **communicate** with other team members.

NO experience is required!

So what are you waiting for? To **Start just hmu with a DM**",no,spam
i am a professional video editor with 4 years experience i can edit videos for you,no,no
"Kindly inbox if you are seeking for Job or career growth, Either Remote, full-time, On-site, Hybrid, or part-time. 

Kindly inbox to help you out and apply successfully to company hiring using the company website and include the hiring information in your applications.",no,spam
"I am an **Experienced web developer** that is looking to be hired.

I have **years of experience** in web developing, and I have also helped many people build and scale their sites!

I can help you build **any type of site** that you may need and **customize** the site completely to your needs.

Here is some of my past work as a **reference** on what I can do for you and your site: 
http://abenezer-daniel.vercel.app/
https://target-audience.vercel.app/

**If you do not like the layout of the sites, as I mentioned before, my styles can always be changed to meet the best of your interests as it is my goal that my customers get the best service!**",no,no
"**Experienced video editor for hire**

I am an experienced editor looking to be hired. I can do Long form video editing with reasonable prices. Here is my work:

**My styles can always be changed to suit your needs, so don't feel that my styles are not compatible with your tastes**

Here is my list of skills and what I can do for your videos:

**7-day delivery**
**2 Revisions**
**Up to 45 minutes of footage provided**
**Up to 10 minutes running time**
**Sound design & mixing**
**Motion graphics**
**Subtitles**
**Include source file** 
**Color grading**
**2-3 day delivery**

I do both long and short form video editing

DM me for more info",no,no
"[Looking for work] [Remote] [Part-time][Native Android App Developer]

Experienced Android Developer with 4 years of expertise in designing and developing mobile applications for Android platforms. Demonstrated capability in writing efficient, scalable, and maintainable code. I am enthusiastic about using my skills in Java, Kotlin, Compose, and UX/UI design to build intuitive and user-friendly applications. Eager to contribute my technical proficiency and innovative approach to a dynamic development team.


Contact: DM me",no,no
"**Experienced video editor for hire**

I am an experienced editor looking to be hired. I can do Long form video editing with reasonable prices. Here is my work:

**My styles can always be changed to suit your needs, so don't feel that my styles are not compatible with your tastes**

Here is my list of skills and what I can do for your videos:

**7-day delivery**
**2 Revisions**
**Up to 45 minutes of footage provided**
**Up to 10 minutes running time**
**Sound design & mixing**
**Motion graphics**
**Subtitles**
**Include source file** 
**Color grading**
**2-3 day delivery**

I do both long and short form video editing

DM me for more info",no,no
"# job offer
Hey everyone I'm a video editor 
And I'm looking for clients...
Whoever finds clients for my video editing services will get 30% of what the client pays me!!

If anyone interested 
DM me ✅
I'll explain more",no,no
"We're hiring video editors and content creators! 

Pay: You'll earn through our affiliate program (we'll provide all the details). You'll get daily content ideas and scripts for your videos. 
Just edit and post! 

Interested? Contact me on discord",yes,Video Editor
"Hello 👋 Currently hiring for $700 weekly [home based job].
What entails in this job is basically advertising/ marketing. And if you’re willing to learn you can be taught, it’s a simple job and can be easily done from home 
If interested send me a message now
Or message me directly +1 206-745-5532",no,spam
are those other job listings for you?,no,no
"[Looking for work] [Remote] [Part-time][Native Android App Developer]

Experienced Android Developer with 4 years of expertise in designing and developing mobile applications for Android platforms. Demonstrated capability in writing efficient, scalable, and maintainable code. I am enthusiastic about using my skills in Java, Kotlin, Compose, and UX/UI design to build intuitive and user-friendly applications. Eager to contribute my technical proficiency and innovative approach to a dynamic development team.


Contact: DM me
LinkedIn: https://www.linkedin.com/in/muhammad-asif-javed-6589b4190/
GitHub: https://github.com/asifj96",no,no
"Hello 👋 Currently hiring for $700 weekly [home based job].
What entails in this job is basically advertising/ marketing. And if you’re willing to learn you can be taught, it’s a simple job and can be easily done from home 
If interested send me a message now
Or message me directly +1 206-745-5532",no,no
"**Experienced video editor for hire**

I am an experienced editor looking to be hired. I can do Long form video editing with reasonable prices. Here is my work:

**My styles can always be changed to suit your needs, so don't feel that my styles are not compatible with your tastes**

Here is my list of skills and what I can do for your videos:

**7-day delivery**
**2 Revisions**
**Up to 45 minutes of footage provided**
**Up to 10 minutes running time**
**Sound design & mixing**
**Motion graphics**
**Subtitles**
**Include source file** 
**Color grading**
**2-3 day delivery**

I do both long and short form video editing

DM me for more info",no,no
"There is the Scripts team, a platform for Interactive novels. Recently, we plan to recruit more authors for three projects!

1. Short lesbian interactive novels authors.
Word count: 600 - 700 words per chapter, a total of 60~80 chapters.
Writing mode: The team will provide an outline for each chapter, and the authors only need to write based on the outline.
Delivery frequency: At least seven chapters per week.
Application: Write any chapter based on the outline provided by the team and submit it as a sample.

2. Short lesbian interactive novels authors adapted from traditional novels.
Word count: 600 - 700 words per chapter, a total of 60~80 chapters.
Writing mode: The team will provide original chapters from a traditional novel, and the authors need to adapt them based on the original text.
Delivery frequency: At least seven chapters per week.
Application: Adapt any chapter based on the original text provided by the team and submit it as a sample.

3. Original lesbian interactive novel authors.
Word count: 3000 - 6000 words per chapter, a total of 9 chapters.
Writing mode: All should be created by authors with our guidelines.
Delivery frequency: At least one chapter per week.
Application: An original outline and a 2000-word sample.
Above all, basic salary: $0.01 to $0.05 per word + Extra bonuses.

Regardless of the writing mode, your story will be adapted into a game! Dm me or email us at writers.sus@igg.com if you want to join us!",yes,content Writer
"Guaranteed Sales and Passive Income: (Commission)
**+75 Commission-Based Outreachers & Sales Workers!**

I reckon you wouldn't have anything against a few **Extra CLIENTS a Month and a Passive Sales Machine? **(DM US)

If so, we can get you **Guaranteed Meetings and Automated Sales Systems.**",no ,spam
"[HIRING]!!! AN ONLINE REMOTE JOB APPLICATION HERE !

I’m realtor and I’m here to hire : 

-An Online workers who knows how to post and market properties for rent on Facebook marketplace 

-This is about Real Estate Marketing Agency 

-Whereby you will posting new different apartments for rent 16 days in a month on your Facebook marketplace  ,
            Meanwhile, people interested in the apartment you post will get to you, whereby you will ask for there names and contacts as a result of your post which will be my desire feedback 

-You Will be paid $750 after every month of work as salary 

-Work day : Monday - Friday
                        Post 4 times within the work days

-mind you no upfront payment in this job 

And if you are really interested in this job,
Kindly send me a direct message including :
-Your name  
-Your age
-Your location 

Note: All salary payment will be made through crypto and via PayPal 

Thanks",no,no
"seems interesting and scammy. if you want guaranteed money, do appointment setting -- quick commissions -- with samantha. or adyss and zoro might be keen to explain companies like eggway and what they offer. buddy up with salespeople and devs to get a better idea.",no,no
"Guaranteed Sales and Passive Income: (Commission)
**+75 Commission-Based Outreachers & Sales Workers!**

I reckon you wouldn't have anything against a few **Extra CLIENTS a Month and a Passive Sales Machine? **(DM US)

If so, we can get you **Guaranteed Meetings and Automated Sales Systems.**",no,no
